url,canonical,canonical_count,canonical_status,lang,lang_status,robots,noindex,hreflang,hreflang_count,hreflang_status,jsonld_types,jsonld_status,h1_count,title_present,description_present
/zh/export-delivery/,https://zhongsai-steelstructure.com/zh/export-delivery/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/export-delivery/ | zh-CN=https://zhongsai-steelstructure.com/zh/export-delivery/ | x-default=https://zhongsai-steelstructure.com/en/export-delivery/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/faq/,https://zhongsai-steelstructure.com/zh/faq/,1,PASS,zh-CN,PASS,"noindex, follow",True,en=https://zhongsai-steelstructure.com/en/faq/ | zh-CN=https://zhongsai-steelstructure.com/zh/faq/ | x-default=https://zhongsai-steelstructure.com/en/faq/,3,PASS,,PASS,1,True,True
/zh/,https://zhongsai-steelstructure.com/zh/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/ | zh-CN=https://zhongsai-steelstructure.com/zh/ | x-default=https://zhongsai-steelstructure.com/en/,3,PASS,Organization,PASS,1,True,True
/zh/manufacturing-quality/,https://zhongsai-steelstructure.com/zh/manufacturing-quality/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/manufacturing-quality/ | zh-CN=https://zhongsai-steelstructure.com/zh/manufacturing-quality/ | x-default=https://zhongsai-steelstructure.com/en/manufacturing-quality/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/privacy/,https://zhongsai-steelstructure.com/zh/privacy/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/privacy/ | zh-CN=https://zhongsai-steelstructure.com/zh/privacy/ | x-default=https://zhongsai-steelstructure.com/en/privacy/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/products/custom-engineering/,https://zhongsai-steelstructure.com/zh/products/custom-engineering/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/products/custom-engineering/ | zh-CN=https://zhongsai-steelstructure.com/zh/products/custom-engineering/ | x-default=https://zhongsai-steelstructure.com/en/products/custom-engineering/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/products/,https://zhongsai-steelstructure.com/zh/products/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/products/ | zh-CN=https://zhongsai-steelstructure.com/zh/products/ | x-default=https://zhongsai-steelstructure.com/en/products/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/projects/cnooc-pr6-pipe-rack/,https://zhongsai-steelstructure.com/zh/projects/cnooc-pr6-pipe-rack/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/ | zh-CN=https://zhongsai-steelstructure.com/zh/projects/cnooc-pr6-pipe-rack/ | x-default=https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/projects/cnpc-cracking-furnace/,https://zhongsai-steelstructure.com/zh/projects/cnpc-cracking-furnace/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/ | zh-CN=https://zhongsai-steelstructure.com/zh/projects/cnpc-cracking-furnace/ | x-default=https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/projects/cnpc-liquid-furnace/,https://zhongsai-steelstructure.com/zh/projects/cnpc-liquid-furnace/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/ | zh-CN=https://zhongsai-steelstructure.com/zh/projects/cnpc-liquid-furnace/ | x-default=https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,3,PASS,BreadcrumbList,PASS,1,True,True
